ASV,Taxon,BLAST,PercentMatch,1003_Wk1,1003_Wk2,1003_Wk3,1003_Wk4,1003_Wk5,1003_Wk6,1003_Wk7,1003_Wk8,1003_Wk9,1004_Wk1,1004_Wk2,1004_Wk3,1004_Wk4,1004_Wk5,1004_Wk6,1004_Wk7,1004_Wk8,1004_Wk9,1005_Wk1,1005_Wk2,1005_Wk3,1005_Wk4,1005_Wk5,1005_Wk6,1005_Wk7,1005_Wk8,1005_Wk9,Wk1_Control,Wk2_Control,Wk3_Control,Wk4_1003Parallel,Wk4_1004Parallel,Wk4_1005Parallel,Wk5_1003Parallel,Wk5_1004Parallel,Wk5_1005Parallel,Wk6_1003Parallel,Wk6_1004Parallel,Wk6_1005Parallel,Wk7_1003Parallel,Wk7_1004Parallel,Wk7_1005Parallel,Wk8_1003Parallel,Wk8_1004Parallel,Wk8_1005Parallel,Wk9_1003Parallel,Wk9_1004Parallel
5ba8ac0932668789e379cc462b15ef3c,k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__sapidissima,Alosa aestivalis,100,0,0,0,0,3,0,0,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a7783c847304564e78f42bc0b5eef42,k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Alosa; s__sapidissima,Alosa pseudoharengus,100,0,0,14,0,0,0,0,0,0,0,0,0,0,25261,0,7335,0,0,5,0,0,30,0,29,95710,0,23,0,0,0,0,0,0,33569,0,6,0,31734,0,0,0,32461,4225,6790,0,0,0
1e646e70fecffb34dc28c644c3e111c9,k__Metazoa; p__Chordata; c__Actinopteri; o__Uranoscopiformes; f__Ammodytidae; g__Ammodytes,Ammodytes,100,0,0,0,0,52,0,169243,0,14,209,0,0,0,0,36,0,0,0,0,0,0,0,44,0,0,0,0,0,27,0,0,0,0,0,46,0,0,0,0,0,30,0,0,0,0,0,40
510fc640c809ed5a09b902588703a6ee,k__Metazoa; p__Chordata; c__Actinopteri; o__Anguilliformes; f__Anguillidae; g__Anguilla; s__bicolor pacifica,Anguilla rostrata,100,0,0,0,0,0,0,0,0,0,0,0,0,0,35486,15859,0,0,18,0,0,0,4,13,4,0,63010,6,0,0,0,0,0,0,0,15879,29509,20,0,0,11,0,1988,7716,0,0,0,0
73f4c80cb0472c0cd5fe438696babc6e,k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Brevoortia; s__tyrannus,Brevoortia tyrannus,100,9,0,0,0,0,0,0,0,30130,0,0,0,0,0,0,0,0,21746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852e37ecfa2b3985d66117af128b8063,k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__pallasii,Clupea harengus,100,0,49946,0,0,0,0,62545,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
f7e3adbeff07c41ffad9206ea68e8840,k__Metazoa; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Clupea; s__pallasii,Clupea sp.,100,0,0,106,121,9,71,281,374,0,131,119,117,0,378,87,122,0,0,0,0,10,13,20,67,4,13,0,403,363,0,0,5,0,201,167,0,762,610,267,49,0,24,77,5,4,11,67
e23dcdf9660fe6d488615c33a7f51c92,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes,Cryptacanthodes giganteus,100,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f62291986e00e2fbad38d6d0349f29ce,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Gaidropsaridae; g__Gaidropsarus,Enchelyopus cimbrius,100,0,0,106,0,0,0,0,0,0,0,0,0,0,21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211,0,175,0,0,0,2,0,12594,301,0,0
31b74ef62b4422e3579db4d236d3fb1d,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Stichaeidae,Eumesogrammus praecisus,100,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,43,0,0,0,0,97646,0,0,0,0,0,4279,0,0,0,0,0,2596,0,0,0
102728a2f4054d96242082d58b95dc7e,k__Metazoa; p__Chordata; c__Actinopteri; o__Cyprinodontiformes; f__Fundulidae; g__Fundulus; s__heteroclitus,Fundulus heteroclitus,100,0,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,0,10521,0,0,0,0,0,0,0,0,0
299048dc7270729c57ca559454cfecc4,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Gadidae; g__Gadus,Gadidae sp.,100,0,0,178,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
093cbb97253cb6ed3ff426ac2bcaa5cb,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Gadidae; g__Gadus,Gadus morhua,100,0,0,0,0,0,0,282,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
