ASV	Phylum	Class	Order	Family	Genus	Species	Confidence	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
79c5bf8e719046b98ea4b9639d500374	p__Chordata	 Actinopteri	 Scombriformes	 Scombridae	 Rastrelliger		0.998706984741	49	64219	184	117	192841	234260	198	120	54737	298	102	198997	179683	96666	56246	81026	112446	84998	75	144	170	335163	177	89231	85	32474	126	6	149	73	77	591	30	150623	74	76177	186	100200	99670	42705	629	84382	46765	35978	123	4124	104535	37471	41	81405	82691	3455	123	33790	50586	41	255	0	8
d49d5af0e3a68dd460877f6c4bd605ab	 p__Chordata	 Actinopteri	 Labriformes	 Labridae	 Tautogolabrus	adspersus	0.985287960792496	90	48430	106272	305809	90608	94869	96	60	44393	63	48	69655	52138	30518	53831	37963	32678	75223	51	141	95	51379	186	295098	140580	33170	128	6	62	15	58	42	15	37	19	99996	63	41084	25310	91188	110	101	39710	72319	41	55	134893	236	29	15038	53763	1741	74	75179	129545	179	426	0	3
0ae696476b906c4fc238a851e28b7034	 p__Chordata	 Actinopteri	 Perciformes	 Pholidae	 Pholis		0.998244998717408	0	136	15	32	0	33	28	146	96938	49	43	0	14	56	39165	180313	61453	56853	0	17	0	73	84	118	114	95	15	0	22	0	0	54	45	24230	7	0	0	20353	59461	25968	162	77470	10894	45948	0	99	43	168486	114	26592	11510	95	0	126742	61059	134	27	0	0
02afebb71268594917fa69fbc6637889	 p__Chordata	 Mammalia	 Primates	 Hominidae	 Homo	sapiens	0.999934666055195	0	1761	0	41	26270	18	64779	3	21	0	0	7	24	0	0	0	0	0	0	0	81	30	25	3	0	0	0	0	55613	18	8	0	0	6756	3	19610	419682	1821	154	550	8	5	7	0	27	0	37	0	254	0	24	0	36	11	0	16266	0	0	0
2a710e68a60b375a53a1720d3fe6a9b7	 p__Chordata	 Actinopteri	 Pleuronectiformes	 Pleuronectidae			0.999999999989747	50	0	268239	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	25	0	0	0	28	0	0	0	114	395	0	0	0	0	0	0	33	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	17	0	27	30	0	0	0	0	0
5a7783c847304564e78f42bc0b5eef42	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Alosa	sapidissima	0.995901364092706	0	0	14	0	0	0	0	0	0	0	0	0	0	25261	0	7335	0	0	5	0	0	30	0	29	95710	0	23	0	7	0	0	24	0	0	0	0	0	33569	0	6	29	0	31734	0	0	0	0	32461	9	4225	6790	0	0	0	0	4	0	0	0
56746295e600d52d1ca6832099704ccf	 p__Chordata	 Mammalia	 Artiodactyla	 Suidae	 Sus		0.999994437653887	0	0	0	0	0	29	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	29	0	0	0	0	0	0	211703	0	0	0	0	0	0	0	0	15	0	418	0	0	275	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
a0c42d2af9c0d45fdee4baddcdaffbdd	 p__Chordata	 Actinopteri	 Perciformes				0.999998696701956	0	29059	79	0	0	0	0	0	0	0	0	28	0	0	0	0	35182	79	30	0	0	0	0	0	0	39	47	0	0	0	0	154	0	0	22	0	0	0	0	0	191	39	13796	0	0	0	0	0	0	41516	49960	1274	0	0	26913	0	0	0	0
1e646e70fecffb34dc28c644c3e111c9	 p__Chordata	 Actinopteri	 Uranoscopiformes	 Ammodytidae	 Ammodytes		0.999999969454504	0	0	0	0	52	0	169243	0	14	209	0	0	0	0	36	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	40	0	0	0	0
510fc640c809ed5a09b902588703a6ee	 p__Chordata	 Actinopteri	 Anguilliformes	 Anguillidae	 Anguilla	bicolor pacifica	0.996979160422751	0	0	0	0	0	0	0	0	0	0	0	0	0	35486	15859	0	0	18	0	0	0	4	13	4	0	63010	6	0	0	0	0	0	0	0	0	0	0	0	15879	29509	0	20	0	0	0	11	0	1988	0	7716	0	0	0	0	0	0	0	0	0
