Sp,Confidence,DOT1003_Wk1,DOT1003_Wk2,DOT1003_Wk3,DOT1003_Wk4,DOT1003_Wk5,DOT1003_Wk6,DOT1003_Wk7,DOT1003_Wk8,DOT1003_Wk9,DOT1004_Wk1,DOT1004_Wk2,DOT1004_Wk3,DOT1004_Wk4,DOT1004_Wk5,DOT1004_Wk6,DOT1004_Wk7,DOT1004_Wk8,DOT1004_Wk9,DOT1005_Wk1,DOT1005_Wk2,DOT1005_Wk3,DOT1005_Wk4,DOT1005_Wk5,DOT1005_Wk6,DOT1005_Wk7,DOT1005_Wk8,DOT1005_Wk9,SR1-1,SR1-2,SR1-4,SR2-4,SR3-4,SR1-5,SR2-5,SR3-5,SR1-6,SR2-6,SR3-6,SR1-7,SR2-7,SR3-7,SR1-8,SR2-8,SR3-8,SR1-9,SR2-9
Scomber_scombrus,1,49,64219,184,117,192841,234260,198,120,54737,298,102,198997,179683,96666,56246,81026,112446,84998,75,144,170,335163,177,89231,85,32474,126,0,77,150623,74,76177,100200,99670,42705,84382,46765,35978,4124,104535,37471,81405,82691,3455,33790,50586
Tautogolabrus_adspersus,0.985287961,90,48430,106272,305809,90608,94869,96,60,44393,63,48,69655,52138,30518,53831,37963,32678,75223,51,141,95,51379,186,295098,140580,33170,128,0,58,37,19,99996,41084,25310,91188,101,39710,72319,55,134893,236,15038,53763,1741,75179,129545
Pholis_sp.,0.998244999,0,136,15,32,0,33,28,146,96938,49,43,0,14,56,39165,180313,61453,56853,0,17,0,73,84,118,114,95,15,0,0,24230,7,0,20353,59461,25968,77470,10894,45948,99,43,168486,26592,11510,95,126742,61059
Pleuronectidae_sp.,1,50,0,268239,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,27,10,0,0,0,0,17,0,30,0
Alosa_sp.,0.995901364,0,0,14,0,0,0,0,0,0,0,0,0,0,25261,0,7335,0,0,5,0,0,30,0,29,95710,0,23,0,0,0,0,0,33569,0,0,0,31734,0,0,0,32461,4225,6790,0,0,0
Myoxocephalus_aenaeas,0.999998697,0,29059,79,0,0,0,0,0,0,0,0,28,0,0,0,0,35182,79,30,0,0,0,0,0,0,39,47,0,0,0,22,0,0,0,0,39,13796,0,0,0,0,41516,49960,1274,0,26913
Ammodytes_sp.,0.999999969,0,0,0,0,52,0,169243,0,14,209,0,0,0,0,36,0,0,0,0,0,0,0,44,0,0,0,0,0,27,0,0,0,0,46,0,0,0,0,0,30,0,0,0,0,0,40
Anguilla_rostrata,0.99697916,0,0,0,0,0,0,0,0,0,0,0,0,0,35486,15859,0,0,18,0,0,0,4,13,4,0,63010,6,0,0,0,0,0,0,15879,29509,20,0,0,11,0,1988,7716,0,0,0,0
Salmo_salar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea_harengus,0.999999987,0,49946,0,0,0,0,62545,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
Pholis_sp. ,0.951296189,108924,0,0,0,0,0,0,49,0,236,171,81,0,0,0,0,0,0,0,0,0,167,112,151,0,0,0,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menidia_menidia,0.985186491,0,81096,0,0,0,0,7,0,0,0,0,0,0,0,10171,0,0,61,0,0,0,0,7,8,0,24,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15610,0,0,0,0,0
Eumesogrammus_praecisus,0.970478986,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,43,0,0,0,97646,0,0,0,0,0,4279,0,0,0,0,0,2596,0,0,0
Sebastes_sp.,0.999521086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,62419,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevoortia_tyrannus,0.999932603,9,0,0,0,0,0,0,0,30130,0,0,0,0,0,0,0,0,21746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myoxocephalus_aenaeas,0.999998697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34317,0,715,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,10035,0,0,0,0,0,0,0,0,0
Anguilla_rostrata,0.992901918,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18618,0,0,0,0,0,0,0,24652,0,318,0,0
Gasterosteus_aculeatus,1,0,14,235,14,0,0,95,0,3,0,2,7,7,0,0,0,0,40,0,147,0,167,135,298,0,41876,0,0,6,0,0,0,0,0,0,85,88,0,77,0,26,60,29,33,33,0
Enchelyopus_cimbrius,1,0,0,106,0,0,0,0,0,0,0,0,0,0,21977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211,0,175,0,0,0,2,0,12594,301,0,0
Alosa_sp.,0.987704097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37537,0
Fundulus_heteroclitus,0.999983537,0,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10985,0,10521,0,0,0,0,0,0,0,0,0
Alosa_aestivalis,0.926484896,0,0,0,0,3,0,0,0,0,0,0,0,36659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa_sp.,0.994792258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36270,0,0,0,0,0,0,0,0,0
Plethodon_cinereus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22258,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus_adspersus,0.989163097,0,0,0,0,0,0,0,0,0,0,0,0,19666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urophycis_chuss,0.999997866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxilus_cornutus,0.969207686,0,0,0,0,0,0,0,0,0,0,0,0,0,19257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oreochromis_niloticus,0.981062824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16428,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus_adspersus,0.982051802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16097,0,0,0,0,0,0,0,0,0,0,0,0
Scomber_scombrus,0.998703819,0,0,0,0,0,0,0,0,0,0,0,0,15664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber_scombrus,0.99633685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13323,0,0,0,0,0,0,0,0
Pholis_sp.,0.997912676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes_sp.,0.992270867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,0,0,0,8615,0,0,0,0,0
Menidia_menidia,0.953134544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,91,0,0
Pungitius_pungitius,0.999999928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachius_pollachius,0.925004832,0,0,0,0,0,0,0,0,9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menidia_menidia,0.949568332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Pholis_sp.,0.997858711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tautogolabrus_adspersus,0.982810632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6360,0,0,0,0
