SampleID,Sampler,Date,Volume,Preservative,Notes,Sampler,DNA Qubit (ng/uL),Latitude,Longitude
Wk1_Control,Smith-Root,11-Aug-23,1L,"Frozen, -80","filter clogged very quickly, dirty water",Mallory,29.6,44.6849,-63.6141
Wk1_Blank,Smith-Root,11-Aug-23,1.5L,"Frozen, -80","diH2O, quick filter",Mallory,0.25,44.6849,-63.6141
Wk2_Control,Smith-Root,21-Aug-23,3L,"Frozen, -80","done in-lab, forgot to bring filters into the field, no field blank",Mallory,41.6,44.6849,-63.6141
Wk3_Control,Smith-Root,29-Aug-23,3L,"Frozen, -80",,Mallory,40,44.6849,-63.6141
Wk3_Blank,Smith-Root,29-Aug-23,1.5L,"Frozen, -80","diH2O, quick filter",Mallory,<0.05,44.6849,-63.6141
Wk4_1003Parallel,Smith-Root,8-Sep-23,125mL,"Frozen, -80","Started using the MCT backpack sampler, no issues",Nick,2.03,44.6849,-63.6141
Wk4_1004Parallel,Smith-Root,8-Sep-23,125mL,"Frozen, -80",No issues,Nick,<0.05,44.6849,-63.6141
Wk4_1005Parallel,Smith-Root,8-Sep-23,125mL,"Frozen, -80",No issues,Nick,3.19,44.6849,-63.6141
Wk4_Blank,Smith-Root,8-Sep-23,1.5L,"Frozen, -80",No issues,Nick,0.538,44.6849,-63.6141
Wk5_1003Parallel,Smith-Root,15-Sep-23,125mL,"Frozen, -80",No issues,Mallory,7.29,44.6849,-63.6141
Wk5_1004Parallel,Smith-Root,15-Sep-23,125mL,"Frozen, -80",No issues,Mallory,7.53,44.6849,-63.6141
Wk5_1005Parallel,Smith-Root,15-Sep-23,125mL,"Frozen, -80",No issues,Mallory,5.7,44.6849,-63.6141
Wk5_FieldBlank,Smith-Root,15-Sep-23,1.5L,"Frozen, -80",No issues,Mallory,0.16,44.6849,-63.6141
Wk6_1003Parallel,Smith-Root,25-Sep-23,125mL,"Frozen, -80",No issues,Mallory,1.91,44.6849,-63.6141
Wk6_1004Parallel,Smith-Root,25-Sep-23,125mL,"Frozen, -80",No issues,Mallory,9.62,44.6849,-63.6141
