DOT_unit,Method,Week,Date,DurationPreserved,Concentration
1003,DOT,1,8/11/2023,66,0.558
1004,DOT,1,8/11/2023,66,9.77
1005,DOT,1,8/11/2023,66,1.65
1003,DOT,2,8/21/2023,56,4.99
1004,DOT,2,8/21/2023,56,0.388
1005,DOT,2,8/21/2023,56,2.25
1003,DOT,3,8/29/2023,48,3.69
1004,DOT,3,8/29/2023,48,5.98
1005,DOT,3,8/29/2023,48,7.01
1003,DOT,4,9/8/2023,38,3.5
1004,DOT,4,9/8/2023,38,<0.05
1005,DOT,4,9/8/2023,38,5.2
1003,DOT,5,9/15/2023,31,1.07
1004,DOT,5,9/15/2023,31,3.89
1005,DOT,5,9/15/2023,31,1.47
1003,DOT,6,9/25/2023,21,3.25
1004,DOT,6,9/25/2023,21,4.84
1005,DOT,6,9/25/2023,21,2.99
1003,DOT,7,10/3/2023,13,0.446
1004,DOT,7,10/3/2023,13,16.2
1005,DOT,7,10/3/2023,13,4.28
1003,DOT,8,10/10/2023,6,0.575
1004,DOT,8,10/10/2023,6,<0.05
1005,DOT,8,10/10/2023,6,1.51
1003,DOT,9,10/16/2023,0,10.5
1004,DOT,9,10/16/2023,0,9.36
1003,SmithRoot,4,8-Sep-23,38,2.03
1004,SmithRoot,4,8-Sep-23,38,<0.05
1005,SmithRoot,4,8-Sep-23,38,3.19
1003,SmithRoot,5,15-Sep-23,31,7.29
1004,SmithRoot,5,15-Sep-23,31,7.53
1005,SmithRoot,5,15-Sep-23,31,5.7
1003,SmithRoot,6,25-Sep-23,21,1.91
1004,SmithRoot,6,25-Sep-23,21,9.62
1005,SmithRoot,6,25-Sep-23,21,6.2
1003,SmithRoot,7,3-Oct-23,13,13.6
1004,SmithRoot,7,3-Oct-23,13,5.91
1005,SmithRoot,7,3-Oct-23,13,11.4
1003,SmithRoot,8,10-Oct-23,6,3.38
1004,SmithRoot,8,10-Oct-23,6,<0.05
1005,SmithRoot,8,10-Oct-23,6,5.28
1003,SmithRoot,9,16-Oct-23,0,8.76
1004,SmithRoot,9,16-Oct-23,0,17.2
